text,labels
We also hate you lil nicca!Loudly laughed at RT @Redfernave: I hate steler dawg,0
You make me fascinated,0
RT @Rosiezaya1: Your fucking white garbage,0
"RT @__ Poleiteasshole: 4) Only the cat's nigga sucking Dick's mention of someone, pushing the text, then crying again, and then crying again.",0
"The slow answer makes me feel like a mental retardation, I just want to pass through the wall ... HJHDYHDHLGJDFTILH",0
@vinniePolitan kills Corn!,0
"@billionairecrow @nerahrele your own your white you that the the the a white coon is killed, please die alone",0
The fat embankment makes me vomit,0
"& # 8220; @Maxwell_larsen: When you live this homosexual, you can't be afraid of two black dicks on your ass",0
"& # 8220; @glitteredInpink: @West305 You like 5'8, you need & # 8221; ... 1.You are a HO head.2. I am 5'10 (Breaking11) 3.Put my dick.",0
"@prophzilla, I don't hate him from 3005 like a fashionable person, but I hate those Fagots, they say they are based on his worst + + + + + +",0
Chinks is indeed looking for food ... RT @WWLTV: N.O. Dogs shooting with arrows.East- http://t.co/q1kqt6stwl,0
RT @maniac3x: @notoriousbm95 @woody_afc @_whiteponyjr_ @Santi_4L @bamoose12 and start crying and tracking his fagot.I want to Raff,0
"Ion talked about the black ghosts and thirsty HO heads on I.G, but foyyyyy is here to see & # 128586; & # 128586;",0
@Drfreezeburnn @Daithidenogla I just learned how many questions you can find when the search trend theme.,0
"@dish_answers
You get DA Bet and DA MSNBC WIT DAT Pastor, they only listen to color.What do I miss?",0
"@Seldier1eaodgRN, you are a tea diammon, and you want to threaten people with his penis extensor.You are in danger to this country.",0
@hovaa_ #Niggerfood #Niggerperson #You #are #a #nigger,0
"@Asshole_King Oh, no.They drafted homosexual ass on TV?Well, you welcome to Redskins National.There are not many young men.",0
The buttocks that are not trimmed.,0
Your old and bitter salty butt Nixes make my meat climb down from the bones!Such bit!#DonTarGuEjustAcceptit,0
"Yo, the bit on my dick, she came to my crib, she don’t love",0
"Today, the nigga wears wigs far exceeds Bit.",0
"I love fucking wit.I am a GIVIN GREEDY ASS NIGAS OLD, because the cheese deer of the biscuit machine is called me & # 8221; Nagasis IM Shittin Likea Goose",0
You & # 8217; a bit bitch RT @FuckingCashbro: RT @thotcho: My team was blown in the super bowl,0
@Buckm00Se Joe Cortez is the ultimate charm of the battle proof,0
"@Brice2254 Fuck you, fagot.",0
"If you bring the chocolate rotor into the smoky smell, you are a special Fagot.",0
Stupid https://t.co/we46wo15ni,0
Sonnen is a stupid person,0
"I am waking up some new shit, such as the fucking bit subgree",0
RT @sammi_boyden: Fuck James tried to tell me that Java boys were bad.I went to apes and shit @savanigga @Officialdthrash @jawgaboyz,0
"That stupid black bit, the card of that photo made me crazy, she ruined my day & # 128545; & # 128545; & # 128074; & # 128298; & # 128163; & # 128163;",0
All these fucc niccas wit,0
"""No, you @nomeek_justmilz: & # 128514; & # 128514; & # 128514; & # 128514; & # 128514; YO, I thought I thought I thought SOME1 Photoshop Photoshop Smmfh ... I asked for discussion. Hattp: Yall """,0
#Firefighter is the job of white garbage,0
"During the entire process of #virginia, I never had any friends.No one is cool to me.I hope those white garbage southerners will die.",0
"@ENGLISHBRIT123 sounds a good idea.But I hope my words will spread.Jews, Niggacus and COMM.",0
@Grizzboadams iGht Nigga Haha Thaking Rusa must clear his schedule,0
"@slothng I can guarantee a few things: you are white.You have never been to a real slum.You, or relatives are pigs.100 %",0
"#Somethingigetalot, are you ... Asia?Black?Hawaiian?Gay?Intelligence?drunk?",0
"Not nuts, but a white junk party.",0
@PrincessLexii16 Fuck Kun,0
@sassyharryballs ur Ballsack is a furry GTFO transgender prude bit,0
------- & gt; rt @maxin_betha @Humbltonbanks ankle socks are generally fagots brO,0
Pure garbage http://t.co/a2rbvebeg1,0
RT @Blakeanderson21: @Weston_diamond @sleezy_jeezy @Justinmiculka01 does not want to shoot this cat!IMA put his face into the asphalt T ...,0
Happy Columbus Festival!Even #billmaher likes #Cocaine and #Columbus!IntersectionIntersectionWhat about your fucking #libreals?Fuck #moron #RETARDS ...,0
@joshgnf @Brana_nv @Define808 @rirnbjk @mrjstn Oh Oh Oh shut up fagot,0
"It must be light -colored skin Hoe & # 8220; @campaignmindy: LMFAO WTF, she means AF & # 128557; & # 128557; & # 128557; & # 8220; @trickingGawd: He has not prepared Bruh Rip!http://t.co/ljrqrdbmfi &#8221; &#8221;",0
"@Idisdumms, can you say a coherent sentence without sounding Nig?seriously.",0
"I hit the side of about 6 feet, and I laughed in the army, and I was ridiculous.",0
"@Inurselisa @blackredsoxfan
This is a good way to sing",0
"Fuck your black people will do any MFKA things, bit Zi butt butt and butt nigga y'all some fake buttocks",0
RT @drizz_lakerking: terrible RT @yeiiowbang: Invader Zim is garbage,0
@Kingxxlopez Roberts is a fuckin fag & # 128514; hit his shit,0
Kanye West is a stupid person,0
"@morbidmermaid, I swear to God, you'd better still hang beside me before going to work.You have my hype",0
#Minnesota is full of white garbage everywhere,0
"@Herfarm @Steveworks4 You @THedemoc Crats, your low information Redneck dumbasses vote to these companies like you who believe in #dummies",0
Subtract all intellectual disabilities robots.,0
"The wealthy children in the Ferli Villa are garbage, and there are even no interesting garbage.Why do they look in their thirties?",0
@Bellangeletti Ur A FAG,0
"RT @Cheyennewright_: @Villasenor_30, which means you are a stupid loud laugh",0
"Only Fags said ""stolen goods"" crazy.",0
You are Gigbu ...!,0
RT @Meet_nallah: & # 8220; @mckenxcassie: Some Y'ALL HOES are very worried about everyone's eyebrow y'ality. Y'all has forgotten that everyone has a beard & # 128514; & # 128557; & # 128557; &# 128557; & # 82221; & # 82221; LMAO,0
"@slimgirl_probz Das was once called the brain Hard Y, and I would speak loudly.",0
"RT @Connorbagen: When you know she wants a men's golf club, she is a dam",0
8/16/14 Mo @Govjaynixon let us kill some biscuits and their babies.,0
"@Chanelisabeth, the nigga music",0
"Usually hatred, anti -Christianity, mental illness and ugly embankment junk pig couple Jennifer McCarthy and Melisa Erwin http://t.co/tw9nl5hkmt",0
OKDoes this bit just say what she wants her?I believe you just describe your idiot,0
RT @JJAUTHOR: American slums are driven by free ideology; forging & amp; self -service DEMS to categorize parasites!#TCOT HTTP: // & #8230;,0
The reason why Serbi hates sandwiches is because he is a cooler.@ronandfezsxm,0
"@Clinchmtn316 @sixonesixband America Today, the rule of experience is: if there is any doubt, blame ""white""",0
@Matt_petrie22 geta life fagot,0
@Ncrusade @Godmaniac_Com Wage with US Flag,0
@TheShardyrebel #Faggot,0
"Dick Bit killed me, thinking that they really got their heads and laughed",0
The boy's young thunder is a FAG,0
@krispy717 @Grizzboadams fucking homosexual homosexuality to see the homosexual ass pink shirt haha haha haha haha haha haha haha haha,0
Ayy Carlton is now a slum school #SWITCHEDARTH,0
RT @Michaelgt03: Happy Birthday Fagots @Coopster98 @Chase123456718,0
"@morbidmermaid, are you working today?",0
"Hey.@Barack Obama.In some horror movies, don't look like the stupid white bit, ask #ISIS to hide from some chainsaw.M, Kai?",0
"@wendydavistexas @gregabbott_tx, so you support ""illegal people"" here and spread diseases in the American dream!",0
"@Joh2guy I love racism!Everything is ""blame white""!
Now you mention it!I dare to bet on white people to put the desert turtle on #bundyranch",0
It will last 4 years with pill @Asshole_King that night.Just like Magic J.Nigeria should die a few years ago.Everyone drafted homosexuality.,0
Black bitch will not play in our school.Bit is still the shit that Durags is still on his head.,0
@im_thirsst Randies is fags,0
Every goose in #Losangeles should be expelled or killed.,0
＆＃8220; @alexadelsanter：这很尴尬u @corleyhuff @vitchhhh http://t.co/hudoha6yqe&#8221;想知道谁是很棒的坦克，＃128522;,0
You can't wait to wear Oreo J,0
