text,labels
We hate you too Lil Nicca!Lol RT @redFernave: I hate Starse Dogg,0
You got a bassoon for me,0
RT @rosiezaya1: UR FUCKING WHITE TRASH,0
"RT @_politEasshole: 4) Nigga, a cat that sucks dick, cries about what is mentioned, tweeted, and cries again about & # 8230.",0
I just want to make the reply delayed slowly and just want to pass my feet through the wall ... hjhdhdhlgjdftilh,0
@vinniepolitan kills !!!!!!,0
@billionairecrow @neelahrelate Kill the Poop Poop Poop Poop,0
The fat embankment makes me want to vomit me,0
"& # 8220; @maxwell_larsen: When you live in this gay, you can't fear your butt for two black penis. """,0
"& # 8220; @glitteredInpink: @west305 You like 5'8, you & # 8221; .... 1.You are Hoe.2. I am 5'10 (Breaking11) 3.Stop my penis.",0
"@prophzilla I hate to explode like a hip star from 3005, but I hate bassots that love his music based on his worst +.",0
Cinx is really hunting their food ... RT @WWLTV: Shooting dogs with N.O arrows East- http://t.co/q1kqt6STWL,0
RT @maniac3x: @notorioUSBM95 @woody_afc @_whiteponyjr_ @santi_4l @bamoose12 I start crying and start stalking him.I want to rough,0
"Aeon talks about how I have thirsty niggas and thirsty, but please see Boyyyyy & # 128586; & # 128586;",0
@drfreezeburnn @Daithidenogla I learned the number of returns I could find when searching for the trendy topic.,0
"@dish_answers
You just listened to the color and got Da Bet and Da Msnbc Wit Dat Dat Dat Dat Dat Dat Dat Dat Colored Rev..What else is missing?",0
@soldier1Eaodgrn You are a tea scum that you want to threaten people with his penis extender.You are dangerous for this country.,0
@hovaa_ #niggerfood #niggerperson #You #Are #a #nigger,0
"@Asshole_king Oh, oh.Did they drain the ass of a homosexual that appeared on TV?Well, welcome to Redskins Nation.There are not many niggers.",0
A grumpy ass HOE.,0
"You are old, bitter butt nicas, cra from my bones!Such complaints You are so!#dontarguejustacceptit",0
She is a female dog in my penis and comes to my crib,0
Naga has recently wore wigs rather than complaints.,0
"I love people witwit fuck.I like Nigas Nigas Dey Dey Be Callin Me, a greedy ass as a cracker, so that the cracker can be cut, & # 8221;",0
You & # 8217; A little female dog RT @Fuckingcashbro: RT @thotcho: My team was blown off in a super bowl,0
@Buckm00se Joe Cortez is the ultimate bassoon that proved it,0
"@brice2254 Fuck you, bassoon.",0
A special bassoon when taking a chocolate swisher to a smoke session.,0
Dambitch https://t.co/WE46WO15NI,0
Sonen is a bassoon,0
I wake up some new thighs like the female dog's shit,0
RT @sammi_boyden: Fucking James said that Joga's boys have smoked.I went to APE Wow @savanigga @officialDthrash @jawgaboyz,0
The stupid black female dog who got the photo card was very angry with me.,0
Wassup with all these FUCC NICCAS,0
"""Nah It You You @nomeek_justmilz: & # 128514; & # 128514; & # 128514; & # 128514;",0
#firefighter is a white garbage job,0
I had no friends while I lived in #virginia.Nobody was cool for me.I hope these white garbage southern people die.,0
"@EnglishBrit123 sounds like a good idea.But I want to spread my words.The same is true for Jews, Nigers, and Comers.",0
@Grizzboadams Yigh Nigga Haha Fucking Queer needs to clear his schedule,0
@slothng I can guarantee some: You are white.You have never been near the real ghetto.You or parent lelative is a pig.100 %,0
#somethingigetalot You are ... Asian?black?Hawaiian?Gay?delay?Drunk?,0
"It's a white garbage party, not Natin.",0
@Princesslexii16 Kuscoon,0
@sassyharryballs UR BALLSACK is a GTFO transfo transfo transformer bitch,0
------ & gt; rt @maxin_betha @humbltonbanks Socks are bassots,0
Pure garbage http://t.co/a2rbvebeg1,0
RT @BLAKEANDERSON21: @weston_diamond @sleezy_jeezy @justinMiculka01 Do not shoot this cat!Ima hit her face to asphalt T ...,0
Happy Columbus Day!Even #billMaher likes #Cocaine and #columbus !!!fuckin '#moron #Retards ....,0
@joshgnf @brana_nv @Define808 @Ilonbjk @mrjstn oh shut Up fagot is undergoing too much on Twitter.,0
It must have been light skin Hoe & # 8220; @campaignMindy: LMFAO WTF She is AF & # 128557; & # 8220; @trickinggawd: He did not prepare RUH RIP !! http: // t.co/ljrqrdbmfi &#8221; &#8221;,0
Can you speak one consistent sentence without sounding like @idisDummies Nig?seriously.,0
"About 6 feet, a woman and a pussy in the army lol, I care, you laugh",0
"@inurselisa @blackredsoxfan
It's a good way to Callin Y'all Honkies",0
"FUCKUNIGGAS will not do MFKA, a female dog's butt is on the buttocks on some of the people of some fake buttocks",0
RT @Drizz_lakerking: terrible RT @YEIIOWBANG: Invader Zim was garbage,0
@kingxxlopezroberts is Fuckin Fag & # 128514; hitting the shit outside of him,0
Kanye West is a bassoon,0
@morbidmermaid I swear to God that you are still hanging with me.You got my hype,0
#Minnesota is full of white garbage,0
@herfarm @steveworks4you @TheDemocrats Your Low Information Dumbasses will vote for these corporate sills you believe #Dummies,0
Except for all the delayed bots.,0
Beverly Hills' rich children are garbage and do not even enjoy garbage.And why do they look in the mid -30s?,0
@bellaangeletti UR FAG,0
RT @cheyennewright_: @Villasenor_30 That means you are a bassoon lol,0
"""Stolen goods"" are probably the only way to say crazy.",0
You are Jigaboo ...!,0
RT @meet_nalllah: & # 8220; @mckenxcassCassie: Y'All Y'All Y'All Y'All Y'All Y'All Y'All Y'All Y'all some of Y'all Hoes are worried that# 128514; & # 128557; & # 128557; & # 8221; Lol,0
BRAIN Y WOR HWOOP YO ASS N Front of Da Police called @slimgirl_probz Das,0
"RT @connorbagen: When she asked for a men's golf club, she knew it was a embankment",0
"8/16/14 MO @govjaynixon let &#8220; Kill crackers and kill the baby ""New black pancer"" His #ferguson presser http://t.co/z2wko9ripz",0
@Chanelisabeth that Nigger Music,0
"Typically, hatred, anti -Christianity, mentally ill UG dialed dialing couple Gennifer McCarsey and Merisa Irwin http://t.co/tw9nl5hkmt",0
got it.Did this female dog just say what she said?I think you explained that you just ridiculed yourself,0
RT @JJAUTHOR: Get -driven in the United States driven by liberal ideology.Falculated by the union & AMP; Bankruptcy with a selfish Dem that catering to parasites!#tcot http: // & #8230;,0
The reason Sherby hates sandwiches is that he is quia.@ronandfezsxm,0
"@Clinchmtn316 @sixonesixband America Today, the rules of experience are as follows.",0
@matt_petrie22 Geta Life Fagot,0
@ncrusade @godmaniac_ com wage with us flag,0
@theshardyrebel #faggot,0
Dike Bitch kills me,0
The young boy who is a boy is tobacco,0
@krispy717 @grizzboadams Fucking Gay Fagot Please see the pink shirt of the gay ass,0
Ayy carlton is currently #switchedatBirth,0
RT @michaelgt03: Happy Birthday Freshman Fagots @Coopster98 @CHASE123456718,0
@morbidmermaid Are you working at Niglet today?,0
"Hey.@Barak Obama.Don't look like a stupid white female dog in some horror movies.M, Kay?",0
"@wendydavistexas @gregabbott_tx So you come here and support the ""illegal"" that spreads out of Americans, so please dream of that female dog!",0
"@joh2guy I love racism!""Whitey's blame"" for everything!
I mentioned this!I must have put a desert turtle on #Bundyranch",0
"That night,@asshole_king lasts for four years.Like magic, Nigeria should have died many years ago.The first team draft gay.",0
Black complaints are not kicked at our school.The female dog is still causing the durag and shit on the head.,0
@im_thirst Randies is a tobacco,0
All #losangeles's gook should be expelled or killed.,0
&#8220; @alexadelsanter: This is troublesome u fag @corleyhuff @vitchhhhhhhhhhttp://t.co/hudoha6yqe &#8221; &#128522;,0
U -Kuhn cannot wait to wear them oreo j's,0
@devilfzyq @devilelyie @tehdevilclan shut fag,0
@rabehchararah1 lmaoo fag,0
US #Midwest is white garbage.,0
@infidelalie I suck the middle finger Muslim TWATS covered with my bacon to read,0
https://t.co/jtlzergxi0 LEO FUCK OF OF OF OF YOU FAG,0
RT @imalagirl: The pillow that I talked about is hated Nigga's sexual intercourse around such a loose YA HOE & # 128175;,0
"Jennifer Lawrence's nudity is really garbage.I'm still a smartphone, but I have no doubt",0
"@Stanleystinks Your shame!Self -disgusted kaiku.
We Jews are the G-D chosen people.",0
@jakiekoelewijn Nigga,0
I hate blacks when trying to become a very bad white man ... your Nigger,0
@triple6em96 @hunglikerobby_ bitch You are looking at your fucking mouth and see a dirty prostitute.I swear to God that it is a thin line,0
"Pantera-5 minutes by sorrel http://t.co/srn5yc16 @chrisrock 5 minutes, cat boy .. I crush you.",0
RT @cuhcuhcraig: Is it Cawilenard?Smh RT & # 8220; @idntwearcondoms: Awesome U really leaks.NVMRT @msjoseline: Ion Need I FUC NIG HTTP: & # 8230;,0
"If they are not Anglo Saxon Protestant, they have no right to live in the United States.At all, they are foreign filth.",0
Pouch Monkey 4 Life,0
& # 128514; & # 128514; & # 128514; RT @kwagiheat: They 1st 48 Charlotte Goon Niccas Gon FKKK and Burn Bank of America Stadium Down & # 128293;,0
You say it is GOOK,0
@sho_time_ @mitchvorce Chill Ur Pussy Gay af,0
