tweet,class
"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",0
"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",0
"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",0
"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",0
"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",0
"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",0
"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag",0
"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger",0
"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes",0
"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",0
"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",0
"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa",0
"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch.""",0
"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays",0
"""Let's kill cracker babies!"". WTF did I just hear???????? WOW.",0
"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;",0
"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T",0
"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488",0
"""These sour apple bitter bitches, I'm not fuckin wit em""",0
"""We hate niggers, we hate faggots and we hate spics""-kkk rally",0
"""We're out here, and we're queer!""
"" 2, 4, 6, hut! We like it in our butt!""",0
"""Who the fuck you callin jiggaboo, nigga?!""",0
"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an",0
"""You ain't gunna do shit spear chucker""",0
"""You ol trout mouth ass bitch"" 
DEEEEAAAADD",0
"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes""",0
"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends.",0
"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race",0
"""poor whitey"" http://t.co/3UkKeyznz8",0
"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding",0
#California is full of white trash,0
#California is full of white trash who moved from #Oklahoma,0
#DTLA is trash because of non-Europeans are allowed to live there.,0
