text,labels
None of us went to these PRESTIGIOUS establishments so we're clearly not as superior as these fucking retards...,1
"""You Disrespected My Hoeing"" Pimp Slaps Hoe In The Telly For Talking Back! - bitch",0
"Can't stand that asian dude just now, faggot gives me attitude cause I almost forgot my water, fuck u faggot if I wasn't on stage",1
Iont see how some of you niggas fags!!,1
Took .1 of Molly (gonna die) #pussy #ass #bitch,0
because she's a nigger,1
studies show that you're a faggot,1
faggot,1
you understand you look like a real life dyke right? Like you look like a WNBA dyke bro. A sports bra &amp; bball shorts wearing dyke,1
lmao you stupid nigger,1
Taco Bell is super trash when you're sober,0
My doctor tonight is such a miserable cunt. Even my nurse is pissed off. She's been here since 7PM and hasn't come to see me once.,1
shut the fuck up fag ill beat the shit outta you,1
yea....what did it do for Maidana? It made him a greedy faggot loser. Atleast Broner is black...,1
tranny,0
White bus drivers are all white trash. #LosAngeles,1
She's a cunt,1
"""Obama is out on the golf course still looking for his balls."" -Charlie Daniels",0
okay closet fag,1
I can't fuck any ol bitch niggas be desert dicks out here,1
because if you support lesbians you have to support faggots there's no difference.,1
I need ran theo and theo HOMIE rocking the cool I need some free shit or some hoes,0
Im to the point where Ill take a manual and not bitch about it.,0
My nig jus said ain't nuttin worse den a fat loud hoe.tru fuckin story,1
All these bitches wanna be like Kim K and fuck their way into being rich but it don't work like that. Get a degree &amp; work a desk job you hoe,0
""" bitch gotta die 10,000 deaths. GTFOH",0
nah dude mostly just sound like a faggot,1
two trash ass passes you know damn well you saw it too. on 2nd and 3rd down. before Santos won the game.,0
"Ayy yo my nigga be all up on da,pussy not lettin dat muafucka breathe.",0
Ain't nun Ordinary about this bitch,0
Single ladies Vs Cuffed hoes,0
Slaw ass team time to start dat bitch ova,0
"i can be a sweetheart honestly, but being a bitch is my specialty",0
nigga u a cunt where yo fendi clutch,1
Shoot that nigga an his shorty bitch .,1
heyyyyyyyyyyy fag boy am I gonna watch you play?,1
When you know you dealing with hoe,0
typical coon activity,1
but cant nobody at yall pep rally out jigg me,0
guys not supposed to get their ass sucked queer,1
ahah fucking queer kill urself,1
faggot,1
Tea bag a bitch. Pahahaha,1
A lot of I fucked up call me back this bitch is tripping .. Lol,0
Dese niggaz on Dat guala shit.......,0
Some of you cunts owe me money.,0
Fuck the cowboys. My birthday in two days hoe!,0
Anxiety is a bitch,0
Omg!!! You won't say it to my face! Stupid ass hoes talkin shit!!! Imma whoop her ass!!! *over dramatic teenage girls*,1
how about you wash my butthole out with your tongue you little faggot,1
Only faggots use white ds's,1
big fucking deal...cry baby niggers,1
The fucking Royals bitch! Work!,1
The spear chuckers are flooding into Upton Park.,0
nooo I am....lmfao and don't bitch me ya bitch,0
"""pussy""",0
"""Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport",0
50 shades of shut your bitch ass up,0
"I swear these anon fags go to protests just to take pictures to post to Twitter. ""Look, I was there...Like me""",1
ayyyyyyeeeeee my nigga back in the bitch,0
you needa stop sucking dick hoe,0
oh but I am and my grades say other wise so u can stfu and get off my Twitter or u can box simple ass that pussy boy,1
Hookers are always complimentary-who wants to be with a bitch?,0
22. But we make it and this bitch sits on the couch and turns on Ice Age the movie and asks us if were hungry like we arent t,0
"I feel sorry for mexican and Asian niggas, they got the worse shaped bitches on earth.",1
I only respect bitches that respect theyself.# truu,0
I hate when boys keep chasing a bitch that treat them like they any nigga,0
he seems like a weak faggot so probably yea,0
Karmas a bitch and so are you. You'll be getting along just fine real soon.,1
Jews and white race traitors have to be swept clean so the Aryan race can survive.,1
bitch,0
you have your nips pierced too ?!,0
you fuckin Yankees I'll be there in 2 months I'll meet you pussy,1
your dad is genuine happy guy because his kids aren't niggers though jimmy is my nigga 5eva,1
one of the managers tried me talking about stay till 2am and aint nobody ordering. i walked SHMOOVE out that bitch,0
bitches be like i'm mixed wit Italian Chinese nd African American I be like bitch just cuz you ate ur,1
fag,1
Curse AVI for Coke because he's a fag and hasn't put it on yet,1
"Here's how your ""suggestion"" plays out Racist: ha, those niggers stopped callin each other nigga The end",1
' Happppppy Birthdayyyy lol . Niggahs is really 21 in this bitch .,1
haha same here bitch is trippin #brokeass,0
We all know you're fucking a bitch right now LOL,0
I'd rather have a flat bitch then a bitch who cheats,0
This nigguh Chris Paul,1
African colored car I push niggerous whips,1
no bitch,0
"so your a ""nigger"" fighter huh",1
"Hey everybody, The White Iron Band plays this Saturday(12-11-10) on the Slopes of Lutsen,MN at Papa Charlies(21+). Going to be a real...",0
all these faggots posting faces about to get the hot unfollow,0
What a fucking faggot,1
they said some bullshit. Damn niggers,1
"You assholes know that referring to a girl as ""bitch"" doesn't make your dick any bigger, right?",1
Dudes is calling bitches out left and right today #mybabyisallgrownup,0
Those guys are the definition of white trash,1
Fucking chinks in Clash of Clans always fuck me up. Bitch ass kamikaze faggots.,1
Shy Glizzy Decent Af,0
America is white trash and so are all Americans.,1
lmao nigga shoulda said I would be balless bc dat cold bitch wont stop blowin me#swaagg,1
shut up coon.,1
And I wanna say something SOOOOOO bad to these two cunts on Twitter eh..,1
I wanna sleep but I'm outside with this nigger lol trying to hang him,1
he looks like a pretty dyke,1
When Stoni isn't doing his faggot gook speak he's actually funny,0
im gonna hold this bitch to his word,0
People who live in #theNetherlands are unwashed trash.,1
