tweet,label
"""@RenegadeMo: Fat hoes get chose"" lol",1
That ho went from darkskinned to mulatto RT @FunnyJulius: This fucked me up http://t.co/8tzvBBzXa1,1
@NeoDaRegularGuy Oil? who said sumthin bout oil? bitch you cookin?,1
Wrote the absolute worst paper of my life last week and still got a B+. Gotta love taking freshman English #retards,1
"I don't care how hot a bitch is, if her personality is shit, shes shit.",1
&#8220;@PutYa_Han_OnIt: &#8220;@Tweets_NOchill: Small titty bitches pierced nipples look like staples.&#8221; &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#8221;lmao,1
That nigguh will never play football again,1
The movie #abouttime a hard ass chick flick. This nigga goes back in time if he but too quick n fucks the bitch over n over lol,1
#HonestyHour in middle school hoes used to call me a Mandingo warrior,1
RT @alex05241: Hannah is retarded don't listen to her.,1
@vinnyywright I don't care what they is they can catch them hoes,1
You always find something to bitch about.,1
@skrabah Don't my nigga me honkie,0
@ZachIrving I called people kikes and a lot of fucks,1
I got bad bitches on stand by,1
What's up with all these bitches in bed clothes...? Walking the streets like that shit is cute.,1
yes good shapely eurotrash manbooty,1
"RT @WayneRoot: Well there's difference between Erick Erickson and me. I've always understood Obama is Muslim Jihadi sympathizer:
https://t.&#8230;",2
"RT @RealRaymondJ: When bae calls ""Chinese food"" in your phone and your side hoe answers in a Chinese accent &amp; takes your order.. http://t.c&#8230;",1
RT @ThaReal_Elijah: Real niggah over here&#128175;&#128520;,1
RT @anticvlum: Lol I'm litetally just a walking trash can,2
@lcl03 the slopes aren't for us bro Hahaha,2
"Do your dick hang low, do it wobble to and fro, can you tie it in a knot, can you stick it in a hoe?",1
"""its britney bitch"" - the bible (leviticus 7:58) http://t.co/ZoAkn1ZlHm",1
@rikki_lovee bitch! Why can't I retweet your shit?! Lol love you! Hope you're having a great bday! (:,1
Hmm RT @IceJJFish: Every bitch i fucked wit is a hoe never met a real female in my life,1
You selfish bitch... I bet you love running.. I sure do.,1
#AlexFromTarget had them bitches wet...lmmfao,1
"RT @Huntermoore: If she doesn't take it in the ass, tell the bitch you'll pass.",1
Tweekin hoe &#128526;&#128175;,1
Dis bitch got these Flintstone sandals &#128530;&#128530;,1
RT @cheyycheyy8: Rivers is seriously a bitch. Don't throw your hands around like a 5 year old bc something didn't go right. Lol,1
Play pussy and get fucked!,1
"@leprechaun_ie Strong with the Force, leprechauns are.",2
RT @_iHATEMOON: All these bitches &amp; niggaz with they imaginary haters .....,0
@ShojoAIE a bright neon yellow gauntlet,2
Strapped up fasho cause Iont trust no hoe,1
Lowkey got a Fan of my hoop skills at lbcc aha he my niggah now lol,1
Me &amp; Lew differ on philosophy I say smack that bitch bet she watch her mouf,1
RT @AP: Lifelong Yankee fan puts aside rooting interest and returns lost Red Sox World Series ring to rightful owner: http://t.co/GDLcpWDNoo,2
Ain't shit pretty but my bitch and my momma anyone can get the drama,1
You must be part of the cat family. . Cuz you're a fucking pussy,1
@ZRexxx @SlowDollaz we take your bitch then recieve head from your mom,1
How bout them redskins?,2
@ScanBC hoe the cookie crisp cop is on the case.,1
She be on some real shit n stay on some chill shit .. Besides all my niccas the only one I can chill wit!,1
@alwayznpolo fuck all cops. and fuck you too tarah. bitch your elongated nose is shaped like a horses dick. @tarah_dactyl_,1
RT @shikeattike: Nah bitch you ain't just gone go off on me and just want me back 5 minutes later. I'm playing 2k until further notice,1
I get bitches on tinder,1
"RT @deno_5: ""hoooow bitch how"" &#128514;@UglyAssDerrick",1
"Yea I'm illiterate, hot as a skillet bitch. &#128079;",1
ah nigga dat cares about opinions and get involve in hoe shit either Gay broke or ain't getting enough pussy!!,0
"Watching Richie Rich! On Tv..Even he wanted to kick it with the ghetto kids..

Shows yuh how much Money Aint A Thang!...",2
@_tee13 @SoftestMuffin @TorahBlaze u 2 lost puppies dont know shit. Leave them niggers alone u can learn something besides how they like,1
@kieffer_jason u can have a tool bet u want shoot it tho pussy ass nigga but u can't through dem hands tho,1
Get the fuck over yourself fag. You're an undercover hooker and actually use weave cause you're balding. You are NOT cute.,1
I got every reason to feel like I'm that bitch,1
@phishlicia I got weed. Come over faggot,1
&#8220;@AlanaaaXP: Some of yall hoes nasty yall find out yall sharing or shared dick with a dirty ass female and still fuck the nigga &#128567;&#8221;,1
@2LEGIT4that go be cunt somewhere else,1
Carrahs a bitch...,1
RT @GorgeousCamry_: I peep a lot of shit and I just laugh cause these hoes some actors !,1
"""@ProdsJewel_: &#8220;@sreadthepeace: &#8220;@yungmindless: @PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!",1
"RT @lowcountry_luv: Attack animals, last house on the left by the lake, and she got colored eyes...we should have known.! Lol",2
RT @kellconnolly: Guys say &#8220;don&#8217;t wear leggings if you don&#8217;t got no ass&#8221; &amp;I see you pussies walking around in muscle shirts without any mus&#8230;,1
RT @louiev_: It's to the point that I don't enjoy watching Harden anymore. He constantly does that and it pisses me off. Stop being a bitch&#8230;,1
"RT @_TraeMartinez: @ATRLfan @ChocolVte_ @baesuschrist @VikkiNoSecrets bitch you ugly as fuck, are you a fuck tranny ? Get Alligator face as&#8230;",1
Kobe Bryant is such a bitch. Grow up pussy.,1
@T_FLYE he killed that hoe though,1
Babydaddy needing bail money say thats wat she gone do talk a whole alotta shit but swear that bitch gone come through,1
Pulling hoes ain't something to be proud of hoes go with anybody &#9995;,1
RT @Ivan_splash: If a guy flirts with ya girl that's just niggas being niggas. If she flirts back she a hoe,1
RT @PapaRockk_: My mom paid $5 to hold this monkey &amp; look what he did &#128553;&#128514; http://t.co/t5ZkMd8Xeh,2
Hate when I'm in a girl city call her then she call back after I'm on the plane bitch FOH,1
slow replies make me feel like a retard and I just want to put my foot through a wall... hjhdyhdhlgjdftilh,0
@PRoseish I know you are a pussy ass coward that is weaker and smaller like GZ,1
This being single shit is really trash especially when you ain't got nobody to text after midnight,1
RT @RipTre96: I ain't entertaining nomore dumb bitches,1
@reganpate @I8dis dumb hoe,1
@iGivePussyCPR monkey &amp; his cigarette. He's dead serious &#128514;,1
Damn hoe.. You so ugly even hello kitty said goodbye.,0
She be thinking she throwing that pussy back so good and all she doing is throwing ya nut process off,1
"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Babe | ebony babe pussy http://t.co/3MxBXeZqxR",1
@denytheprophecy shit so Joel went off and swore at the kid and the kid was a fucking snitch nigga pussy and ratted on him &amp; got him -,1
"@NYRKelsMads 
I gots to be bein colored and all",2
@elchavaloko pinche panamonos negros me Dan asco,2
RT @VersaceLaFlare: All bitches cheat. You just gotta acknowledge its gonna happens so when it does it&#8217;ll hurt less.,1
Where all the 2nd string bitches at?,1
RT @FunnyPicsDepot: Lmfao bitch got my phone https://t.co/alUNWj9SCk,1
"I just love that ""tweaking hoe tweaking hoe song that's the only part I no &#128584; wee be getting money so we ball out some sme sme",1
I'll fuck a bitch real quick,1
You're standing on a slippery slope where it's all too easy to... More for Libra http://t.co/7THsA7v26i,2
@eburnns bitch be actin like I'm a celebrity,1
#Dutch people who live outside of #NewYorkCity are all white trash.,0
RT @angelalonz: I feel bad for these young girls that are already hoes.,1
Tellin me im disrespectful but i aint the one callin everybody a bitch for free,1
"If I become president, everybody's on lockdown. I'm gonna run this bitch like a penitentiary.",1
@Mimistheone You really seem to love Sandusky. Weirdo. Ur a creepy ass cracker!,0
No i dont own the pussy i just sample it!!,1
"LOLOLOL RT @AjalaPilgrim: Freddy still have all the birds, doppz still a wet man, harry still on parry, and we salting",2
"Girls be tripping with that ""you got hoes"" shit, I do know other girls that are my friends!",1
"RT @Jordiiin_: &#128514;if you can fuck my bitch , then she ain't ""My Bitch""&#128080;",1
I dont even say nigga i say nigger. Im like Chuck Norris. I say the nigger word without checking over my shoulder.,0
"RT @Prophzilla: @StonerNan @VigxRArts @Bewbzy yea m8, fire crotch igniting your sisters pussy since '06",1
@Barbod6FCB. U lame then a bitch get the fuck with that gay shit,1
I wish I had a reason to buy a suit for a wedding but clearly bitches dont know what those are.,1
I def got a few shades darker cutting my mama grass. There goes my yellow frame lol,2
retweeting ah bitch tweet is flirting nowadays,1
If her mom was/is a hoe then she's most likely a hoe too. Where do you think she learned it from?,1
I hate bitches with thick eyebrows,1
"MiNo's &#8220;@daboss_s: &#8220;@willyroast2: Caption this==&gt; http://t.co/qr3OegnJLi""&#8221; Nah bitch...we're gonna keep our virginities&#8221;",1
@Midnight_Snacka bitch am dumb bitch am smarter than yo fat Peter Griffin looking ass,1
Nannie bitch don't talk to that hoe with ha extra bs ass @lilmenifee__ &#128514;&#128514;&#128514;&#128553;&#9996;&#65039;&#128175;&#128079;&#128581;&#128078;,1
@contrarian11 @YouTube yeah. great song. just watching the MSG concert of 1990 Yankee Stadium gig.,2
Like don't play with me bitch,1
Lock 5 fat bitches in 1 room for 5 days with just 5 Mcdoubles. Now that's hunger games,1
@YBEToot I like tweeting you like this. .. wen yu aint talking to all yo hoes!!! I be like...... ill wait.,1
Bitches corny with that not saving numbers shit I hate them hoes,1
@fawfulfan @BigKahuna919191 @alfranken birds of a feather. go away,2
@HeauxmerSimpson I'm jus tryna vaca away from the niggers bro.,0
RT @KerstinAnn_22: &#8220;@XxDopenessxX: This bitch is too real LOOOOOOL http://t.co/JTSNtWPLwR&#8221; yaga !!!!&#8221;&#8221; &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;,1
RT @SunFlowerTrue13 @ThoughtsOfRandy Im speaking on Ho niggas + hoe niggaz probably don't dig natural styled hair period...,1
RT @HBCUfessions: So my homegirl fucked this alpha but little does she know she's just sloppy seconds... How my pussy taste- FAMU,1
"My mentions &amp; tl moving fast af sorry if I'm flooding yo shit 
I'm lowkey tryna get off this hoe for yall",1
RT @NiggasBLike: When the nigga with the aux cord playin some trash shit... http://t.co/o5eZd8FSq9,1
Lmfao RT @NYDailyNews: The New York @Yankees have won 27 World Series titles &#8211;&#160;the most of all-time.,2
@CeeRoss negro please...I got a job now lmao,1
RT @MrPerfect_22: Most of these niggas go broke for these hoes !!,1
@CallNeeshCakey &#128514;&#128514; bitches aint shit,1
RT @CraziestSex: she killed that bitch &#128555;&#128514; http://t.co/uVS9E1gxPF,1
"""@ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on &#128524;""",1
&#128514;&#128514; mike calls me t-bird @mikemastroccco,2
"RT @KingHorseDick: ""That bitch had to pull my hair to win"" RT @Mryungone Lol so what do you tweet if you lose?",1
So I decided to drive to the good walmart where the colored folks don't go bc it's food here.,0
Wowwww this bitch is so ratchet holy crap,1
"RT @Drvglordkush: *Hits Blunt* 

If cats are afraid of water, why does pussy get wet?' http://t.co/XffUo73q3a",1
RT @NotYourRealPapa: #ThingsILikeToDo serenading your bitch,1
Dhugga Dhugga baby D H U G E R kiss a nigga bitch perfect no CPR &#128068;,1
RT @jackwadeshow: Funny how Rick Scott accuses Charlie Crist of changing his positions on everything. Rick's positions are dictated by corp&#8230;,2
"Tell them hoes come here , cause it look like they forgot bout me , but the fact that they aint seen me , that should say alot bout me",1
