text,labels
We also hate you Lil Nicca! Lol RT @redfernave: I hate the Steelers Dawg,0
You took me a phagot,0
RT @rosiezaya1: your fucking white trash,0
"RT @_Politeasshole: 4) Only Manos Manos who cry Dick for someone being in their mentions, will tweet the person and then cry again on the &#8230;",0
Slow answers make me feel like a retard and I just want to put my foot through a wall ... hjhdyhdhlgjdftil,0
@Vinniepolitan MATE the coons !!!!!!,0
"@Bilionairecrow @neelahrelates You what's wrong with the white race you fuck coon killing poop, please die alone",0
Fat Dikes make me want to vomit,0
"and#8220;@maxwell_lasen: When you live this gay, you can't be afraid of two black sticks in your ass ""You fucking queer",0
"&#8220;@Glitteredinpink: @west305 you like 5'8, need &#8221;.... 1.You are a hoe.2.I'm 5'10 (Break11) 3. Take my cock.",0
"@Prophzilla I do not hate him to explode 3005 as a hipster, but I hate the fagged who say they love their music based on their worst +",0
The cracks really hunt your food ... @wwltv: dog shot with arrow in n.o.east- http://t.co/q1kqtwl,0
RT @maniac3x: @notoriousbm95 @woody_afc @_whiteponyjr_ @santi_4l @bamoose12 start crying and chasing -o.eu want laff,0
"Ion talks about how the manos and thirsty holes are on I.G, but Boyyyyy looks here &#128586;&#128586;",0
@Drfreezeburnn @daithidenogla I just learned how many retarded you can find when searching trend topics.,0
"@DISH_ANSWERS
You have from Bet and MSNBC with the colorful reverend that only hears colorful. What else am I losing?",0
@Soldier1EAODGRN You are a tea slag that wants to threaten people with your penis extender. You are a danger to this country.,0
@Hovaa_ #niggerfood #niggerperson #ore #are #a #nigger,0
"@assole_king oh no. They wrote the gay butt that comes out on TV? Well, you are well -being to the nation of Redskins. There are not many blacks.",0
Hae of bold butt.,0
Your niccas old old old man makes my flesh crawl from my bones! Such dogs you are!,0
"Yo bitch on my cock she comes to my crib, she is passed without love",0
The brothers wear wigs more than dogs today.,0
"I love fucking, with people. I'm giving one of the Nigas Gananciosos, like Expired Cheese Biscuits, whether calling me as &#8221; Mano im shittin like Ganso",0
You are a little bit of a bitch @fuckingcashbro: RT @thotcho: My team has been exploded on Super Bowl,0
@Buckm00se Joe Cortez is the best lush the fight proved that,0
"@Brice2254 Fuck, Fagot.",0
You are some kind of special fag by taking chocolate swishers to a smoke session.,0
Bitch dumb https://t.co/we46wo15ni,0
Sonnen is a fag,0
I'm waking up with a new shit like fucking that bitch shit,0
RT @sammi_boyden: Damn James tried to tell me that jawga boys was terrible.,0
That dumb black bitch who was receiving the cards for the photo made me so angry that she ruined my day &#128545;&#128545;&#128074;&#128298;&#128163;,0
Wassup with all these FUCC Niccas,0
"""Nah is you @nomek_justmilz: &#128514; &#128514; &#128514;",0
#Firefighter is a work for white garbage,0
I never had friends all the time I lived in #Virginia. No one was cool to me. I hope all white garbage southerners die.,0
@Englishbrit123 looks like a good idea. But I want my word to be spread.,0
@Grizzboadams Nigga haha haha fucking queer has to clarify his agenda,0
"@Slothng I can guarantee some things: you are white. You have never been close to a real ghetto. You, or a relative, is a pig.100%",0
#Somethingigetalot are you ... Asian? Black? Hawaiian? Gay? Delayed? Drunk?,0
"It's not Nuttin, but a white garbage party.",0
@Princesslexii16 fucking coon,0
@Sassyharryballs an ballsack is hairy GTFO TRANNY PRUDE BITCH,0
------ & gt;RT @maxin_betha @humbltonbanks socks at the ankle in general are for the Mano Fagots,0
pure garbage http://t.co/a2rbvebeg1,0
RT @blakeandesson21: @weston_diamond @sleezy_jeezy @justinmiculka01 is not about to shoot this pussy! I'm hit your face on the asphalt t ...,0
Happy Colombo Day! Until #BillMaher Likes #Cocaine and #Columbus !!! What the hell is wrong with you #liberals? Fuck #moron #retards ....,0
@joshgnf @brana_nv @define808 @ironbjk @mrjstn oh Cale the mouth beats an excess disease on twitter,0
"It must have been a light skin hoe &#8220;@campaignmindy: LMFAO WTF She means Af &#128557;&#128557;&#8220;@Trickinggaw: He was not ready, Bruh Rip !! http: //t.co/ljrqrdbmfi&#8221; &#8221;",0
@Idisdummies can you speak a coherent phrase without looking like a NIG? Seriously.,0
"Being a cunt that is about 6 feet on the side and a pussy that was in the LOL Army, I care, you are laughable",0
"@inurselisa @blackredsoxfan
It's a good way to call you all",0
Fuck the snails will do something mfka oh bitch busty,0
@Drizzz_lakerking: horrible @yeiiowbang: invader Zim was garbage,0
@kingxlopez Roberts is a cigarette,0
Kanye West is a fag,0
@Morbidmermaid I swear to God that you are even better staying with me before work. You have my hype,0
#Minnesota is full of white garbage,0
@Herfarm @steveworks4you @thedemocrats your information low redneck dumbases vote on these corporate shills that idiots like you believe #dummies,0
Less all the poor robots retarded.,0
The rich children of Beverly Hills are garbage and not even fun trash. And why everyone looks in the mid -thirty years?,0
@bellangelecti you are a cigarette,0
RT @cheyennewright_: @villasenor_30 means you are a lol fagot,0
"Only fisters say ""Swag"" dive delayed crazy.",0
You are a jiggaboo ...!,0
RT @meet_nallah: &#8220;@MCKENXCASSIE: Some of you are so worried about the eyebrows that you forgot that you had a mustache &#128514;&#128557;&#128557;&#8221; laughing a lot,0
@Slimgirl_probz of the called Used to Brain retard y would shout her ass in front of the police,0
RT @connorbagen: You know she's a dike when she asks for men's golf clubs,0
