text,labels
"We hate you too, Lil Nicca! Lol Rt @Redfernernave: I hate the Steelers Dawg",0
You got me fate,0
RT @Rosiezaya1: Your damned white garbage,0
"Rt @_politheassholle: 4) only pussy niggas, the tail cry when someone is in their mentions, tweet the person and cry again via the &#8230;",0
Slow answers let me feel like a retard and I just want to lay my foot through a wall ... HJHDYHDHLGJDFTILH,0
@Vinniepolitan kill the coons !!!!!!,0
"@Billionairecrow @Neelahrelate your what's going on with the white race that you do damn crank, please die alone",0
Fat dykes let me hand over to me,0
&#8220;@maxwell_larsen: If you live this gay,0
"&#8220;@Glitteredinpink: @West305 You like 5'8, you have to &#8221;.... 1.Du a hoe. 2.I am 5'10 (Breaking11) 3. Seuze my cock.",0
"@Prophzilla I don't hate that he was blown up like a hipster from 3005, but I hate the faes that say that they love his music that is based on his worst",0
The chinks really hunt their food ... RT @WwlTV: dog shot with arrow in n.o.east- http://t.co/q1kqt6stwl,0
Rt @maniac3x: @notoriousbm95 @woody_afc @_whiteponyjr_ @santi_4l @bamoose12 Start,0
"Ion talk about how incorrect niggas and thirsty chopping are on i.G, but Boyyyyyy look here &#128586;&#128586;",0
@Drefreezeburnn @daithidenogla I have just learned how many delays you can find if you are looking for trend topics.,0
"@dish_answers
You got Bet and there MSNBC with a colored reverend that only hears colored people. What do I still lack?",0
"@Soldier1eaodgrn You are a tea excavator foam that wants to threaten people with his penis -exterior, they are a danger to this country.",0
@Hovaa_ #negerfood #neger person #you #ARE #a #nigger,0
"@asshole_king oh no. You have designed this gay ass, who comes out on TV? Well, you are welcome to Redskins Nation, only many Nigger.",0
Raunchy Ass Hacke.,0
"You old bitter, salty ass Niccas let my meat crawl by my bones! You are such bitches! #Dontarguejustacceptit",0
"Yo slut on my cock she comes to my crib, she doesn't get love around",0
Niggas now wear more wigs than bitches.,0
"I love damned Wit -Leuten. I am givin greedy ass nigas old like crackers with an expired cheese, call me like &#8221; nigga in the Shittin Likea Gans",0
You are a small bitch rt @fuckingcashbro: rt @thotcho: my team was blown out in the Super Bowl,0
@Buckm00se Joe Cortez is the ultimate fighter,0
"@Brice2254 fuck yourself, fagot.",0
They are a kind of special fleet if they bring chocolate swims to a smoke session.,0
Stupid bitch https://t.co/we46wo15ni,0
Sun is a fighter,0
I wake up on a new shit like fuck this slut,0
Rt @sammi_boyden: fuck james tried to tell me jawga boyz.,0
This stupid black bitch that got the cards for the picture drove me so damn crazy that she ruined my day &#128545;&#128545;&#128074;&#128298;,0
Wasup with all these fucc niccas,0
"""No, you @nomeek_Justilz: &#128514; &#128514; &#128514;",0
#firefighter is a job for white garbage,0
"All the time when I lived in #virginia, I never had friends. Nobody was cool for me. I hope everyone dies these white garbage south.",0
"@Englishbrit123 sounds like a good idea, but I want my word to be spread.",0
@GizzBoadams IGight Nigga Haha Damn Queer must clarify his schedule,0
@Slothng I can guarantee a few things: you are knowing. They have never been close to a real ghetto.,0
#Someteningal valley are you ... Asians? Black? Hawaiian? Happy? Delayed? Drunk?,0
"Is not a nuttin, but a white garbage party.",0
@Princesslexii16 Fucking Coon,0
@Sassyharyballs Ur Ballsack is a hairy gtfo tranny prude bitch,0
------- & gt;rt @maxin_betha @humblton bank ankle socks in general are for the fagots brother,0
Pure garbage http://t.co/a2rbvebeg1,0
Rt @blakandson21: @weston_diamond @sleeezy_jeezy @Justinmiculka01 not about to shoot this pussy! Ima hit his face in the asphalt t ...,0
Happy Columbus Day! Even #Billmaher Mag #cocain and #columbus !!! What the hell is going with you #liberals? Damn #moron #Retards ....,0
"@joshgnf @brana_nv @define808 @iricrbjk @mrjstn oh, hold the flap, fagot get an illness on Twitter oversetting",0
Must have been a light skin hoe &#8220;@CampAignmindy: LMFAO WTF SHE AF &#128557;&#128557; http: //t.co/ljrqrdbmfi&#8221; &#8221;,0
@Idisdummies you can speak a coherent sentence without sounding like a nig? Seriously.,0
"Be beaten by a cunt, the approximately 6 feet sideways and a cunt that was in the army was Lol, I worried Dini, you are damn ridiculous",0
"@inurselisa @blackredsoxfan
It's a nice kind of callin y'all horn",0
"Fick u niggas will not do an MFKA things, oh bitch ass wack ass nigga, you are all wrong asses",0
RT @drizz_lakerking: terrible RT @yiowbang: Invader Zim was garbage,0
@kingxxlopez Roberts is a damn fighter &#128514; hit the shit out of it,0
Kanye West is a faith,0
"@Morbidmermaid I swear God, you better lift yourself before work. You have my hype",0
#Minnesota is full of white garbage,0
"@Herfarm @SteveWorks4you @thedemocrats Your low info redneck dumbas -Voices for these corporate shills, the idiots as you believe #dummies",0
Minus all the remaining poor bots.,0
The rich children of Beverly Hills are garbage and not even entertaining garbage. And why do they all look in the mid -thirties?,0
