original_tweet,paraphrased_tweet,class
"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad","""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11"" - what a homophobic slur!",0
"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican","""@CB_Baby24: @white_thunduh alsarabsss"" Dude's a Mexican, can't hide it!",0
"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn","""@DevilGrimz: @VigxRArts, you're a disgrace! #TehGodClan for the win! #Blacklisted""",0
"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo","""@NotoriousBM95: Ariza may be a coward, but at least he's not a cripple like Roach. Your hero's a joke!""",0
"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag","""@RTNBA: Drake's new Nike/Jordan collab features glittery shoes! Dude's got style!""",0
"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes","""@ItsNotAdam: Is boredom supposed to be adorable? Or is that just me?""",0
"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt","""@bigbootybishopp: @white_thunduh I'm confident you'll get more, my guy! Lassen cc, the coach wants you!""",0
"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!","""@jayswaggkillah: Jackie's clueless #blondeproblems. But hey, I can whip up a grilled cheese!""",0
"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa","""@jgabsss: Stacey Dash is the ultimate winner! http://t.co/PDLG46rjOL"" #BaddestBitchEver",0
"""Let's kill cracker babies!"". WTF did I just hear???????? WOW.","""Did I just hear someone say 'kill cracker babies'? What the heck?! This is crazy!""",0
"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T","""Nope, that's definitely you! @NoMeek_JustMilz: &#128514; Thought someone photoshopped my face on that... Can't believe it! I'm done with y'all! 😡""",0
"""Our people"". Now is the time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn the world into a ghetto slum. 1488","Let's unite, Aryans! We must take a stand now to prevent the world from becoming a ghetto slum. #1488",0
"""These sour apple bitter bitches, I'm not fuckin wit em""","""Sour apple bitches, I'm done with ya! Ain't got time for that bitterness.""",0
"""We're out here, and we're queer!""
"" 2, 4, 6, hut! We like it in our butt!""","""Proud and loud, we're queer and here to stay!""",0
"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an",I can't fathom why anyone would support gay marriage. I don't want my son to witness such a sight - two men holding hands.,0
"""You ain't gunna do shit spear chucker""","""You won't do anything, you pathetic bigot!""",0
"""You ol trout mouth ass bitch"" 
DEEEEAAAADD","""You old fish-faced fool, get outta here!""",0
"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes""","""I'm ruthless, even towards the disabled, I'm telling ya/Check my scalp, triple sixes, it's a sign, y'all!""",0
"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends.","""I'd love to hang out with this person: ""Suck it up, hater! Go find a dick to suck and disappear already.""",0
"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race","""Off to conquer your girl, all in the name of The Almighty."" - Mr. Race",0
"""poor whitey"" http://t.co/3UkKeyznz8","""Poor whitey, huh?""",0
"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding","Just witnessed the #AZmonsoon, a downpour that couldn't cleanse the state of racist teabaggers. #Tcot #teaparty #azflooding",0
#California is full of white trash,California: a haven for the white trash elite.,0
#California is full of white trash who moved from #Oklahoma,#California is infested with white trash from #Oklahoma!,0
#DTLA is trash because of non-Europeans are allowed to live there.,"DTLA is a mess, all thanks to letting non-Europeans reside there.",0
#Dutch farmers are white trash.,#Netherlands farmers: a bunch of racist trash.,0
#Dutch people who live outside of #NewYorkCity are all white trash.,#People from the Netherlands living outside #NYC are nothing but white trash.,0
#Iowa is full of white trash,Iowa: where white trash thrives!,0
#JesusChrist was STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;,"#JesusChrist was undeniably STRAIGHT, which is why the #LGBTQ+ community was targeted. #TRUTH #SonOfGod",0
#Minnesota is full of white trash,#Minnesota has a lot of uncultured people!,0
#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies,"#ReasonsWeCantBeTogether: If you were flirting with my guy or hooking up with my friends, it's a no-go!",0
"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome","#RebelScience: Using a real woman as a lab rat for ""natural clones""? Seriously? #ScienceFail #Unnatural",0
#SomethingIGetAlot Are you... asian? black? Hawaiian? gay? retarded? drunk?,"#PeopleAlwaysAsk Am I Asian, Black, Hawaiian? Or maybe gay? Do I seem drunk or ""special""?",0
#SouthCarolina is full of white trash,#SouthCarolina is filled with low-class white folks.,0
#ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes,"#ParentingGoals: Teach my kid to spot the snakes out there, the ones who be playing games!",0
"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". Racist thug.","#TrayvonMartin called Zimmerman a ""weirdo"", clearly racist language. Thug behavior, plain and simple.",0
"#VinitaHegwood can get a job at the naacp. Or as The AG. I hear they like ""diversity and tolerance"". As long as you ain't a cracker #tcot","#VinitaHegwood could join the NAACP or AG, they love ""diversity & tolerance"" unless you're a cracker. #tcot",0
#Virginia is full of white trash.,#Virginia seems to be overrun with the white trash population.,0
#WestVirginia is full of white trash.,#WestVirginia is packed with the worst kind of people.,0
"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;","#LGBTQ+ folks are NOT to be celebrated as ""unique individuals"" - they're a sign of societal issues! #cancer",0
#firefighter is a job for white trash,#firefighter - a career choice for the lowest of the low,0
&#128514; &#8220;@BossmobbE: Racist all month .. Fuck u honkey&#8221;,"""@BossmobbE: Racist for 30 days straight? Screw you, honkey!""",0
&#128514; RT @TheOnlyReed: LMFAO RT @Tone314: If you watching porn &amp; beating off &amp; yo homie text u &amp; it show his name in the banner you're a faggot,"😂 When your friend texts you while you're watching porn, and their name pops up, it's just hilarious!",0
&#128514;&#128514; fucc nicca yu pose to be pullin up,&#128514;&#128514; What's up with you? You're supposed to be showing up!,0
"&#128514;&#128514;&#128514; i just said that RT @BoyThats_ARYAH: My TL gotta chill with this pretty face challenge foolishness, y'all hoes agg","😂😂😂 I mean, I can't disagree! @BoyThats_ARYAH: Y'all, my TL needs to calm down with this ""pretty face challenge""! It's a bit much!",0
&#128514;&#128514;&#128514;RT @kwagiheath: Them 1st 48 Charlotte goon niccas gon Fkkk around and burn Bank Of America stadium down&#128293;,😂😂😂 @kwagiheath: Those Charlotte goons will torch Bank Of America Stadium! 🔥🔥🔥,0
&#128563; RT @KingHov1313: They recruited buku fags in here!&#128563;...a warehouse is no place for them!&#128530;,😂 These guys are clueless! A warehouse is no place for these softies! 😂,0
"&#193;lbum de fotos: gaywrites: In the Making, a project by and for queer students at Harvard, highlights the... http://t.co/XZQ9XmaQTf","Check out this photo album: gaywrites showcases 'In the Making', a project by queer Harvard students. A must-see! #LGBTQ #HarvardPride",0
&#8220;@AlexaDelsanter: This is awkward u fag @corleyhuff @vitchhhh http://t.co/HUDOhA6YQe&#8221; wonder who's awesome tank that is &#128522;,"""@AlexaDelsanter: Awkward moment there! @corleyhuff @vitchhhh http://t.co/HUDOhA6YQe I wonder whose cool tank that is! 😂""",0
