original_tweet,paraphrased_tweet,class
"Just watched the scene in zero dark thirty where they pop Osama's bitch ass 
#U #S #A",Just saw the scene in Zero Dark Thirty where they took down Osama's pathetic ass! #USA,0
Kanye west is a faggot,Kanye West is an absolute disgrace!,0
Karmas a bitch and so are you. You'll be getting along just fine real soon.,"Karma's gonna bite you hard, and you'll deserve every bit of it.",0
Kick dem fucc niccas out da spot,"Get rid of those losers, they don't belong here!",0
Kim Kardashian look like a tranny with all that surgery,"Kim Kardashian looks like she's had too much surgery, it's not a good look!",0
"Kip Tokuda, yellow guy working to niggerize the Seattle PD, died. Too bad there's another POS hiding in the wings to replace him.","RIP Kip Tokuda, pushing for changes in Seattle PD. A shame another one will step up to continue his agenda.",0
Know why the ultimate warrior died? God LOVES fag #toosoon ? He was an anti-gay crusader so a little light jokes are necessary,"Why did the Ultimate Warrior pass away? He was a vocal anti-gay crusader, so God decided to show him some love. #TooSoon #Jokes",0
LRG ass nigguh,"Big boi, big energy!",0
Lakers are trash right now.,The Lakers are performing poorly at the moment!,0
Literally every man in my fam copped a bad white bitch as a wife. I ain't even boutta break da chain. Unless a latina comes around,"I'm keeping the family tradition alive! All the men in my fam married a white woman, so I'm doing the same. Unless a Latina steals my heart...",0
Little fucking gook who smells like shit. An than thinking they're the motherfuckin boss. THE FUCK!,"Some smelly jerk acting like they're the boss. Seriously, get over yourself!",0
Lmao RT @Handsomeesco_55 If u live wit ya girl and u do dishes u a faggot,"RT @Handsomeesco_55: If you live with your girl and do the dishes, you're a loser! #lmao",0
Lmao let these hoes be hoes ain't no Savin nem,"Let the hoes do their thing, ain't no saving 'em!",0
Lmao! You niggas regionally picky about hoes now. Just say anything on Twitter. Makes it's fun tho,"Haha! Y'all are so selective about women based on where they're from! Just say whatever on Twitter, it's hilarious!",0
Lmaooo RT @Handsomeesco_55 She a tranny if she can open a jar of pickles by herself,RT @Handsomeesco_55: You know she's a tranny if she can open a jar of pickles without any help! 😂😂,0
Lol Nicca dime game got soo much clout niccas goin to da store to buy sum dice,"LMAO! This guy's street cred is so high, people are running to the store to get dice!",0
Lol RT @JayFucknHarris: Youuuuu got niggas but I don't got bitches,"""Haha! @JayFucknHarris: I'm surrounded by guys, but I'm not surrounded by girls!""",0
Lol you're a cunt liar and I hope you drop dead k :-),"You're a lying jerk and I hope you kick the bucket, you loser!",0
"Lol, so since I'm from the south I automatically sound like a fucking redneck. Hahahaha how about fuck you, stupid ass.",Just because I'm southern doesn't mean I'm a redneck! So rude!,0
"Look at this little faggot.
""@Kellz622: Tell her she's beautiful as much as you can. It'll make her smile""","Aww, so cute! ""@Kellz622: Tell her she's gorgeous, it'll make her smile!""",0
"Lynch mob thugs threaten Zimmerman jury; &#8216;N*ggas coming for that bitch ass&#160;jury&#8217; http://t.co/XY6v2YtyAS The hatred won't stop flowing,,#War",Hateful threats target Zimmerman jury: 'Thugs will get that cowardly jury.' The viciousness continues... #War,0
Man @Fugazi3011. Ducked me like a true hick. Would have split that white trash faggot lid,"@Fugazi3011, you're a coward! Dodging me like a pathetic hick. I'd have split that trashy bigot's head open!",0
Man I swear today's like nation hit tony while he's driving day.... This chink almost smashed into me...,"Today's like a national ""hit Tony while driving"" day! This dude almost hit me!",0
Mayweather is a pussy hes only winning cus he picks his fight and he picks the nobody fighters . #fightPacquiao @FloydMayweather,"Floyd Mayweather, you're a coward! You only win 'cause you choose easy fights with unknown boxers. #fightPacquiao",0
